BFS_NR,GEBIET_NAME,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
1,Gesamtschweiz,694'851,696'371,687'257,685'264,681'015,676'068,668'419,651'556,643'306,638'006
5,Grossregion Ostschweiz,97'273,97'695,97'039,97'290,97'267,96'851,96'700,94'903,94'689,94'268
8,Kanton Glarus,3'283,3'320,3'310,3'299,3'322,3'293,3'310,3'225,3'282,3'309
14,Kanton Schaffhausen,6'549,6'566,6'549,6'586,6'573,6'621,6'563,6'467,6'493,6'515
15,Kanton Appenzell a.Rh.,5'072,5'126,5'104,5'178,5'242,5'169,5'155,5'125,5'097,4'981
16,Kanton Appenzell i.Rh.,1'840,1'857,1'863,1'901,1'907,1'872,1'885,1'868,1'865,1'856
17,Kanton St.Gallen,38'628,38'765,38'647,38'775,38'717,38'508,38'378,37'601,37'457,37'293
18,Kanton Graubünden,20'760,20'879,20'779,20'825,20'898,20'858,20'870,20'371,20'319,20'294
20,Kanton Thurgau,21'141,21'182,20'787,20'726,20'608,20'530,20'539,20'246,20'176,20'020
1721,Wahlkreis St.Gallen,10'162,10'196,10'125,10'175,10'178,10'125,10'110,9'878,9'799,9'802
1722,Wahlkreis Rorschach,2'785,2'801,2'834,2'841,2'859,2'832,2'844,2'802,2'778,2'711
1723,Wahlkreis Rheintal,5'477,5'508,5'458,5'484,5'472,5'395,5'327,5'196,5'201,5'141
1724,Wahlkreis Werdenberg,2'736,2'754,2'763,2'731,2'710,2'657,2'678,2'649,2'628,2'615
1725,Wahlkreis Sarganserland,3'050,3'082,3'029,3'017,3'026,3'003,2'994,2'951,2'966,2'964
1726,Wahlkreis See-Gaster,5'008,5'053,5'056,5'066,5'038,5'047,4'979,4'894,4'857,4'813
1727,Wahlkreis Toggenburg,4'219,4'209,4'213,4'245,4'261,4'246,4'248,4'206,4'234,4'209
1728,Wahlkreis Wil,5'191,5'162,5'169,5'216,5'173,5'203,5'198,5'025,4'994,5'038
3201,Häggenschwil,106,105,104,97,99,94,93,94,98,98
3202,Muolen,126,124,127,118,122,123,123,120,123,133
3203,Stadt St.Gallen,7'180,7'216,7'157,7'203,7'179,7'129,7'077,6'944,6'840,6'828
3204,Wittenbach,461,466,469,473,489,481,491,466,466,457
3211,Berg (SG),60,61,59,60,60,56,61,60,64,61
3212,Eggersriet,135,133,129,140,146,150,153,147,151,153
3213,Goldach,468,474,466,464,468,460,459,445,442,453
3214,Mörschwil,261,265,264,271,273,272,279,275,280,262
3215,Rorschach,745,761,773,786,795,797,800,800,777,736
3216,Rorschacherberg,299,290,299,284,289,286,281,279,286,286
3217,Steinach,208,205,211,218,209,207,203,196,193,189
3218,Tübach,122,120,122,126,121,119,119,117,112,114
3219,Untereggen,92,84,92,94,91,91,92,93,97,93
3231,Au (SG),612,618,598,611,612,597,589,580,589,583
3232,Balgach,337,339,327,317,335,332,340,322,311,315
3233,Berneck,304,308,311,320,312,299,294,286,299,300
3234,Diepoldsau,506,505,515,515,512,516,503,492,483,486
3235,Rheineck,277,274,279,273,277,280,282,270,278,263
3236,St.Margrethen,440,446,444,459,465,468,473,475,477,468
3237,Thal,530,541,548,538,553,544,550,537,527,517
3238,Widnau,695,689,687,689,672,657,640,637,611,587
3251,Altstätten,972,988,990,974,975,967,938,924,929,932
3252,Eichberg,89,93,102,103,97,95,88,92,92,94
3253,Marbach (SG),151,152,149,146,148,148,149,148,147,148
3254,Oberriet (SG),652,642,628,650,642,628,608,582,591,584
3255,Rebstein,267,270,247,244,255,252,267,252,247,245
3256,Rüthi (SG),175,184,181,183,170,156,156,136,147,136
3271,Buchs (SG),947,970,977,968,986,974,955,943,926,909
3272,Gams,262,266,266,251,250,251,254,256,259,253
3273,Grabs,442,435,442,433,429,428,446,443,436,442
3274,Sennwald,415,411,416,416,403,379,389,387,390,390
3275,Sevelen,302,309,303,302,301,283,289,282,279,287
3276,Wartau,368,363,359,361,341,342,345,338,338,334
3291,Bad Ragaz,496,490,479,474,476,461,473,451,450,451
3292,Flums,424,443,432,433,432,423,420,426,426,421
3293,Mels,613,618,596,599,608,607,618,610,607,613
3294,Pfäfers,145,158,154,156,160,158,152,153,152,158
3295,Quarten,239,243,241,234,234,239,237,240,255,257
3296,Sargans,462,468,462,476,477,480,462,438,432,432
3297,Vilters-Wangs,280,281,291,278,283,277,271,267,264,256
3298,Walenstadt,391,381,374,367,356,358,361,366,380,376
3311,Amden,165,176,178,180,174,183,181,175,171,174
3312,Benken (SG),237,242,241,248,245,242,238,229,234,237
3313,Kaltbrunn,357,354,351,348,344,342,346,348,338,329
3315,Schänis,310,317,328,332,328,326,317,300,304,295
3316,Weesen,102,100,111,111,110,113,114,114,111,105
3338,Schmerikon,231,233,244,243,238,236,229,224,236,254
3339,Uznach,443,444,444,445,445,453,437,437,434,428
3340,Rapperswil-Jona,2'052,2'081,2'058,2'086,2'090,2'084,2'056,2'013,1'994,1'964
3341,Gommiswald,402,402,393,386,381,377,375,385,361,371
3342,Eschenbach (SG),709,704,708,687,683,691,686,669,674,656
3352,Ebnat-Kappel,371,364,371,366,363,368,367,364,362,358
3359,Wildhaus-Alt St. Johann,316,316,324,320,327,331,321,323,313,310
3360,Nesslau,413,421,405,416,416,417,432,426,437,434
3372,Hemberg,113,115,122,127,131,123,124,120,128,127
3374,Lichtensteig,149,144,148,152,153,149,151,144,158,150
3375,Oberhelfenschwil,121,123,120,121,124,130,124,120,119,122
3378,Neckertal,415,412,415,413,418,415,431,431,435,435
3379,Wattwil,757,763,761,753,760,763,748,732,730,724
3392,Kirchberg (SG),699,692,666,688,681,679,669,659,658,667
3393,Lütisburg,158,153,156,171,168,162,169,167,166,169
3394,Mosnang,304,298,309,315,308,311,310,306,307,294
3395,Bütschwil-Ganterschwil,403,408,416,403,412,398,402,414,421,419
3401,Degersheim,290,291,282,277,269,274,289,277,276,283
3402,Flawil,592,593,593,611,613,609,598,572,572,579
3405,Jonschwil,246,256,260,259,256,267,264,261,255,261
3407,Oberuzwil,432,435,439,432,423,424,420,404,401,414
3408,Uzwil,688,685,671,677,651,649,651,639,627,631
3422,Niederbüren,143,139,143,146,149,140,139,137,144,146
3423,Niederhelfenschwil,240,245,250,255,248,249,255,240,246,238
3424,Oberbüren,373,360,363,355,353,353,353,338,340,339
3426,Zuzwil (SG),357,345,360,375,359,361,363,348,355,345
3427,Wil (SG),1'830,1'813,1'808,1'829,1'852,1'877,1'866,1'809,1'778,1'802
3441,Andwil (SG),122,123,126,122,122,124,120,117,119,121
3442,Gaiserwald,455,448,444,446,442,437,451,414,410,422
3443,Gossau (SG),1'263,1'253,1'243,1'253,1'246,1'254,1'266,1'241,1'254,1'244
3444,Waldkirch,314,328,326,323,333,333,336,335,338,346